,date,Gross Sales,Discounts,Net Sales,Tax,Total Collected,Cash,Card,PayPay
418,2019-01-02,612,0,612,48,660,660,0,0
419,2019-01-02,417,0,417,33,450,450,0,0
420,2019-01-02,871,0,871,69,940,940,0,0
421,2019-01-02,408,0,408,32,440,440,0,0
422,2019-01-02,741,0,741,59,800,800,0,0
423,2019-01-02,269,0,269,21,290,290,0,0
424,2019-01-02,408,0,408,32,440,440,0,0
425,2019-01-02,269,0,269,21,290,290,0,0
426,2019-01-02,556,0,556,44,600,600,0,0
427,2019-01-02,269,0,269,21,290,290,0,0
428,2019-01-02,871,0,871,69,940,940,0,0
429,2019-01-02,1473,0,1473,117,1590,1590,0,0
430,2019-01-02,1501,0,1501,119,1620,1620,0,0
431,2019-01-02,-75862,0,-75862,-6068,-81930,-81930,0,0
432,2019-01-02,380,0,380,30,410,410,0,0
433,2019-01-02,73084,0,73084,5846,78930,78930,0,0
434,2019-01-02,4538,0,4538,362,4900,4900,0,0
435,2019-01-02,362,0,362,28,390,390,0,0
436,2019-01-02,1269,0,1269,101,1370,1370,0,0
437,2019-01-02,778,0,778,62,840,840,0,0
438,2019-01-02,751,0,751,59,810,810,0,0
439,2019-01-02,251,0,251,19,270,270,0,0
440,2019-01-02,1509,0,1509,111,1620,1620,0,0
441,2019-01-02,741,0,741,59,800,800,0,0
442,2019-01-02,1815,0,1815,145,1960,1960,0,0
443,2019-01-02,1889,0,1889,151,2040,2040,0,0
444,2019-01-02,908,0,908,72,980,980,0,0
445,2019-01-02,908,0,908,72,980,980,0,0
446,2019-01-02,908,0,908,72,980,980,0,0
447,2019-01-02,908,0,908,72,980,980,0,0
448,2019-01-02,389,0,389,31,420,420,0,0
449,2019-01-02,1815,0,1815,145,1960,1960,0,0
450,2019-01-02,852,0,852,68,920,920,0,0
451,2019-01-02,2723,0,2723,217,2940,2940,0,0
452,2019-01-02,3000,-3000,0,0,0,0,0,0
453,2019-01-02,806,0,806,64,870,870,0,0
454,2019-01-02,269,0,269,21,290,290,0,0
455,2019-01-02,445,0,445,35,480,480,0,0
